ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-02-11,10.0,10.02,9.94,10.0,42750.0,75.0,75.0,75.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
2025-02-17,10.02,10.09,9.92,9.92,44944.0,0.0,50.0,66.67,-0.01,-0.0,-0.01,9.96,9.96,9.96,9.96,9.96
2025-02-24,9.69,9.7,9.31,9.47,54858.0,20.51,40.17,57.83,-0.05,-0.01,-0.04,9.8,9.8,9.8,9.8,9.8
2025-03-03,9.33,9.33,8.79,8.8,63978.0,0.77,27.04,47.57,-0.14,-0.03,-0.11,9.55,9.55,9.55,9.55,9.55
2025-03-10,8.78,8.79,8.3,8.67,49153.0,20.67,24.91,40.02,-0.22,-0.07,-0.15,9.37,9.37,9.37,9.37,9.37
2025-03-17,8.78,8.87,8.67,8.79,29449.0,27.37,25.73,35.26,-0.26,-0.1,-0.16,9.13,9.28,9.28,9.28,9.28
2025-03-24,8.89,9.12,8.71,8.74,34743.0,31.43,27.63,32.72,-0.29,-0.14,-0.15,8.89,9.2,9.2,9.2,9.2
2025-03-31,8.37,8.52,8.34,8.5,20385.0,19.42,24.89,30.11,-0.33,-0.17,-0.16,8.7,9.11,9.11,9.11,9.11
2025-04-07,7.24,8.5,7.08,8.15,76263.0,52.45,34.08,31.43,-0.38,-0.21,-0.17,8.57,9.0,9.0,9.0,9.0
2025-04-14,8.28,8.29,7.88,7.93,35617.0,41.67,36.61,33.16,-0.43,-0.25,-0.18,8.42,8.9,8.9,8.9,8.9
2025-04-21,7.85,8.45,7.61,8.41,39945.0,65.2,46.14,37.48,-0.42,-0.28,-0.14,8.35,8.74,8.85,8.85,8.85
2025-04-28,8.43,8.62,8.28,8.43,19798.0,87.66,59.98,44.98,-0.4,-0.3,-0.1,8.28,8.59,8.82,8.82,8.82
2025-05-05,8.43,8.44,7.92,8.37,35732.0,83.77,67.91,52.62,-0.39,-0.32,-0.07,8.26,8.48,8.78,8.78,8.78
2025-05-12,8.5,8.97,8.5,8.91,25740.0,95.59,77.13,60.79,-0.33,-0.32,-0.01,8.41,8.49,8.79,8.79,8.79
2025-05-19,8.82,8.95,8.72,8.76,19062.0,84.56,79.61,67.07,-0.29,-0.31,0.03,8.58,8.5,8.79,8.79,8.79
2025-05-26,8.74,9.07,8.68,9.05,16957.0,98.26,85.83,73.32,-0.23,-0.3,0.07,8.7,8.52,8.81,8.81,8.81
2025-06-02,8.83,9.07,8.78,9.06,19233.0,99.13,90.26,78.97,-0.18,-0.28,0.1,8.83,8.56,8.82,8.82,8.82
2025-06-09,9.09,9.21,8.9,8.94,17745.0,61.97,80.83,79.59,-0.15,-0.25,0.1,8.94,8.6,8.83,8.83,8.83
2025-06-16,9.03,9.09,8.99,9.01,13794.0,62.26,74.64,77.94,-0.12,-0.23,0.11,8.96,8.69,8.84,8.84,8.84
2025-06-23,8.97,9.24,8.93,9.19,20716.0,91.07,80.12,78.67,-0.08,-0.2,0.12,9.05,8.81,8.86,8.86,8.86
2025-06-30,9.27,9.43,9.25,9.33,12780.0,84.62,81.62,79.65,-0.03,-0.17,0.14,9.11,8.91,8.82,8.88,8.88
2025-07-07,9.34,9.49,9.34,9.45,8089.0,93.22,85.49,81.6,0.01,-0.14,0.15,9.18,9.01,8.8,8.9,8.9
2025-07-14,9.44,9.71,9.4,9.69,11439.0,97.44,89.47,84.22,0.06,-0.1,0.16,9.33,9.14,8.81,8.94,8.94
2025-07-21,9.68,9.8,9.59,9.76,9894.0,95.4,91.45,86.63,0.1,-0.06,0.17,9.48,9.22,8.86,8.97,8.97
2025-07-28,9.83,10.25,9.83,10.04,34570.0,79.0,87.3,86.85,0.16,-0.02,0.18,9.65,9.35,8.93,9.01,9.01
2025-08-04,9.88,10.12,9.78,10.1,20154.0,83.52,86.04,86.58,0.2,0.02,0.18,9.81,9.46,8.99,9.06,9.06
2025-08-11,10.19,10.32,10.14,10.3,15111.0,97.83,89.97,87.71,0.25,0.06,0.19,9.98,9.58,9.07,9.1,9.1
2025-08-18,10.28,10.31,10.07,10.14,11895.0,75.34,85.09,86.84,0.26,0.1,0.17,10.07,9.7,9.15,9.14,9.14
2025-08-25,10.27,10.44,10.22,10.4,17478.0,93.94,88.04,87.24,0.29,0.13,0.16,10.2,9.84,9.26,9.18,9.18
2025-09-01,10.32,10.49,10.29,10.46,10835.0,95.77,90.62,88.37,0.31,0.17,0.15,10.28,9.97,9.39,9.23,9.23
2025-09-08,10.41,10.59,10.39,10.54,18951.0,90.38,90.54,89.09,0.33,0.2,0.14,10.37,10.09,9.5,9.27,9.27
2025-09-15,10.57,10.64,10.54,10.61,10182.0,94.74,91.94,90.04,0.35,0.22,0.12,10.43,10.2,9.61,9.31,9.31
2025-09-22,10.73,10.86,10.71,10.72,9932.0,78.13,87.33,89.14,0.36,0.25,0.11,10.55,10.31,9.72,9.35,9.35
2025-09-30,10.79,10.93,10.72,10.92,7536.0,98.44,91.04,89.77,0.38,0.27,0.11,10.65,10.42,9.82,9.4,9.4
2025-10-07,10.92,10.99,10.84,10.98,9904.0,98.33,93.47,91.0,0.39,0.29,0.1,10.75,10.52,9.93,9.44,9.44
2025-10-13,10.8,10.93,10.7,10.71,16272.0,37.78,74.9,85.64,0.38,0.31,0.07,10.79,10.58,10.02,9.48,9.48
2025-10-20,10.82,10.98,10.81,10.91,8639.0,72.41,74.07,81.78,0.37,0.32,0.05,10.85,10.64,10.11,9.52,9.52
