ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-05-29,172.45,172.5,170.55,170.85,6729,37.8,72.73,80.43,3.01,2.52,0.49,171.78,169.78,165.37,161.78,161.78
2024-05-30,168.0,169.0,167.7,167.9,9227,3.51,49.66,70.17,2.58,2.53,0.05,171.1,169.82,165.96,161.94,161.94
2024-05-31,168.25,168.9,166.0,166.0,8144,0.0,33.11,57.82,2.05,2.44,-0.39,170.18,169.7,166.41,162.04,162.04
2024-06-03,168.65,169.75,167.3,169.55,8950,47.97,38.06,51.23,1.93,2.35,-0.42,169.5,169.94,166.93,162.23,162.23
2024-06-04,168.75,168.75,166.5,166.85,7884,13.08,29.73,44.07,1.57,2.21,-0.64,168.23,169.92,167.26,162.35,162.35
2024-06-05,167.4,168.8,166.15,168.45,4508,65.33,41.6,43.24,1.42,2.07,-0.64,167.75,169.76,167.65,162.49,162.49
2024-06-06,172.75,174.6,172.65,174.2,17017,95.35,59.52,48.67,1.78,2.02,-0.23,169.01,170.06,168.34,162.76,162.76
2024-06-07,173.3,173.4,172.4,172.85,6725,79.29,66.11,54.48,1.9,1.99,-0.09,170.38,170.28,168.9,162.99,162.99
2024-06-11,173.15,174.25,172.9,173.3,10821,84.62,72.28,60.41,2.0,1.99,0.0,171.13,170.32,169.4,163.22,163.22
2024-06-12,173.3,176.45,173.3,176.4,7559,99.51,81.36,67.39,2.3,2.05,0.25,173.04,170.64,170.0,163.51,163.51
2024-06-13,178.9,180.5,177.8,178.95,16073,80.86,81.19,71.99,2.7,2.17,0.54,175.14,171.44,170.61,163.84,163.84
2024-06-14,178.95,180.0,177.8,180.0,6452,93.83,85.4,76.46,3.05,2.33,0.72,176.3,172.66,171.24,164.17,164.17
2024-06-17,179.2,180.45,178.8,180.0,8080,93.42,88.08,80.33,3.25,2.5,0.75,177.73,174.06,171.88,164.5,164.5
2024-06-18,182.5,183.05,182.0,183.0,6522,99.49,91.88,84.18,3.6,2.7,0.91,179.67,175.4,172.67,164.87,164.87
2024-06-19,184.75,188.9,184.75,187.95,25279,91.44,91.73,86.7,4.23,2.98,1.25,181.98,177.51,173.72,165.32,165.32
2024-06-20,187.95,189.75,187.8,189.75,11276,100.0,94.49,89.3,4.78,3.3,1.47,184.14,179.64,174.7,165.79,165.79
2024-06-21,187.1,189.2,186.95,188.6,10189,89.5,92.83,90.47,5.0,3.61,1.39,185.86,181.08,175.57,166.22,166.22
2024-06-24,186.5,186.5,183.55,184.0,13136,25.81,70.49,83.81,4.68,3.81,0.87,186.66,182.2,176.24,166.55,166.55
2024-06-25,181.95,183.9,180.8,183.9,13009,34.64,58.54,75.39,4.35,3.91,0.45,186.84,183.26,176.79,166.86,166.86
2024-06-26,184.95,186.1,184.25,185.35,8887,50.84,55.97,68.91,4.16,3.95,0.21,186.32,184.15,177.39,167.19,167.19
