ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,43.56,44.41,43.2,44.32,50011.0,44.32,44.32,44.32,44.32,44.32,92.56,92.56,92.56,0.0,0.0,0.0,44.32,44.32,44.32,44.32,44.32
2024-04-15,43.28,43.32,40.0,40.44,65962.0,42.38,42.38,42.38,42.38,42.38,9.98,65.03,83.39,-0.34,-0.06,-0.27,42.38,42.38,42.38,42.38,42.38
2024-04-22,39.5,42.29,39.46,42.26,38168.0,42.34,42.34,42.34,42.34,42.34,56.57,62.21,76.33,-0.42,-0.13,-0.29,42.34,42.34,42.34,42.34,42.34
2024-04-29,43.32,43.56,41.5,41.98,39591.0,42.25,42.25,42.25,42.25,42.25,50.91,58.44,70.37,-0.5,-0.19,-0.31,42.25,42.25,42.25,42.25,42.25
2024-05-06,42.82,43.7,42.8,43.36,30722.0,42.47,42.47,42.47,42.47,42.47,78.79,65.23,68.65,-0.43,-0.24,-0.19,42.47,42.47,42.47,42.47,42.47
2024-05-13,43.69,45.52,43.68,45.42,37006.0,42.69,42.96,42.96,42.96,42.96,98.35,76.27,71.19,-0.2,-0.23,0.03,42.69,42.96,42.96,42.96,42.96
2024-05-20,45.35,47.7,45.12,46.48,45117.0,43.9,43.47,43.47,43.47,43.47,85.19,79.24,73.87,0.07,-0.17,0.25,43.9,43.47,43.47,43.47,43.47
2024-05-27,47.15,48.24,46.91,47.07,37215.0,44.86,43.92,43.92,43.92,43.92,82.64,80.38,76.04,0.32,-0.08,0.41,44.86,43.92,43.92,43.92,43.92
2024-06-03,47.11,48.62,46.64,48.26,42660.0,46.12,44.4,44.4,44.4,44.4,93.81,84.86,78.98,0.61,0.04,0.57,46.12,44.4,44.4,44.4,44.4
2024-06-11,48.63,51.6,48.63,51.4,46192.0,47.73,45.1,45.1,45.1,45.1,97.47,89.06,82.34,1.08,0.23,0.85,47.73,45.1,45.1,45.1,45.1
2024-06-17,51.25,53.15,51.05,51.1,51715.0,48.86,45.78,45.64,45.64,45.64,74.47,84.2,82.96,1.38,0.44,0.94,48.86,45.78,45.64,45.64,45.64
2024-06-24,50.65,50.65,48.78,49.75,93712.0,49.52,46.71,45.99,45.99,45.99,47.77,72.06,79.32,1.47,0.63,0.84,49.52,46.71,45.99,45.99,45.99
2024-07-01,50.0,51.8,49.76,51.65,67767.0,50.43,47.65,46.42,46.42,46.42,76.96,73.69,77.45,1.67,0.82,0.85,50.43,47.65,46.42,46.42,46.42
2024-07-08,51.6,54.1,51.35,52.0,54742.0,51.18,48.65,46.82,46.82,46.82,61.61,69.66,74.85,1.82,1.0,0.82,51.18,48.65,46.82,46.82,46.82
2024-07-15,52.8,53.2,49.8,50.25,50937.0,50.95,49.34,47.05,47.05,47.05,27.63,55.65,68.45,1.75,1.13,0.61,50.95,49.34,47.05,47.05,47.05
2024-07-22,49.04,50.3,46.36,47.29,48693.0,50.19,49.52,47.06,47.06,47.06,12.02,41.11,59.34,1.41,1.18,0.22,50.19,49.52,47.06,47.06,47.06
2024-07-29,47.81,48.91,44.73,45.45,66121.0,49.33,49.42,46.97,46.97,46.97,7.68,29.97,49.55,0.97,1.14,-0.17,49.33,49.42,46.97,46.97,46.97
2024-08-05,42.62,43.44,40.47,42.83,110142.0,47.56,49.0,46.74,46.74,46.74,17.31,25.75,41.61,0.41,1.01,-0.6,47.56,49.0,46.74,46.74,46.74
2024-08-12,42.9,47.2,42.9,47.12,30735.0,46.59,48.88,46.76,46.76,46.76,52.24,34.58,39.27,0.35,0.89,-0.54,46.59,48.88,46.76,46.76,46.76
2024-08-19,46.99,47.56,45.99,46.33,28851.0,45.8,48.38,46.74,46.74,46.74,59.61,42.92,40.49,0.24,0.77,-0.54,45.8,48.38,46.74,46.74,46.74
2024-08-26,46.86,46.95,44.32,45.59,35869.0,45.46,47.83,46.8,46.68,46.68,60.66,48.84,43.27,0.08,0.65,-0.56,45.46,47.83,46.8,46.68,46.68
2024-09-02,46.34,46.45,42.13,42.44,50250.0,44.86,47.1,46.9,46.49,46.49,27.79,41.82,42.79,-0.3,0.47,-0.78,44.86,47.1,46.9,46.49,46.49
2024-09-09,41.05,44.45,40.95,44.28,41815.0,45.15,46.36,47.0,46.39,46.39,50.38,44.67,43.42,-0.43,0.31,-0.74,45.15,46.36,47.0,46.39,46.39
2024-09-16,44.7,45.41,44.05,45.3,38911.0,44.79,45.69,47.17,46.35,46.35,65.81,51.72,46.18,-0.42,0.18,-0.6,44.79,45.69,47.17,46.35,46.35
