ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,28.13,28.35,27.7,28.2,27928.0,76.92,76.92,76.92,0.0,0.0,0.0,28.2,28.2,28.2,28.2,28.2
2024-04-15,27.87,27.87,23.35,23.52,29421.0,3.4,52.42,68.75,-0.41,-0.07,-0.33,25.86,25.86,25.86,25.86,25.86
2024-04-22,23.73,25.66,23.73,25.02,14600.0,33.4,46.08,61.19,-0.57,-0.16,-0.4,25.58,25.58,25.58,25.58,25.58
2024-04-29,25.44,25.45,23.71,24.29,8976.0,18.8,36.98,53.12,-0.74,-0.27,-0.47,25.26,25.26,25.26,25.26,25.26
2024-05-06,24.61,25.28,24.61,25.1,7601.0,35.0,36.32,47.52,-0.79,-0.36,-0.42,25.23,25.23,25.23,25.23,25.23
2024-05-13,24.51,25.98,24.48,25.56,9702.0,48.89,40.51,45.19,-0.77,-0.44,-0.33,24.7,25.28,25.28,25.28,25.28
2024-05-20,25.97,27.37,25.9,26.21,16647.0,68.31,49.78,46.72,-0.68,-0.48,-0.2,25.24,25.41,25.41,25.41,25.41
2024-05-27,26.82,26.89,26.35,26.45,7540.0,74.86,58.14,50.52,-0.59,-0.5,-0.09,25.52,25.54,25.54,25.54,25.54
2024-06-03,26.45,27.73,26.41,27.72,8701.0,99.69,71.99,57.68,-0.4,-0.48,0.08,26.21,25.79,25.79,25.79,25.79
2024-06-11,27.57,27.84,27.06,27.52,10396.0,90.48,78.15,64.5,-0.27,-0.44,0.18,26.69,25.96,25.96,25.96,25.96
2024-06-17,27.46,27.51,27.23,27.39,6853.0,76.8,77.7,68.9,-0.18,-0.4,0.22,27.06,25.88,26.09,26.09,26.09
2024-06-24,27.36,27.4,26.44,27.33,11435.0,65.77,73.73,70.51,-0.11,-0.34,0.23,27.28,26.26,26.19,26.19,26.19
2024-07-01,27.06,27.45,26.49,26.53,14029.0,8.39,51.95,64.32,-0.13,-0.31,0.17,27.3,26.41,26.22,26.22,26.22
2024-07-08,26.9,27.24,26.79,26.8,8611.0,25.71,43.2,57.28,-0.12,-0.27,0.15,27.11,26.66,26.26,26.26,26.26
2024-07-15,27.69,30.09,27.69,28.51,17431.0,56.71,47.71,54.09,0.04,-0.22,0.25,27.31,27.0,26.41,26.41,26.41
2024-07-22,29.34,29.65,27.52,27.78,9844.0,36.71,44.04,50.74,0.09,-0.16,0.25,27.39,27.22,26.5,26.5,26.5
2024-07-29,28.12,28.44,26.4,26.43,10186.0,0.81,29.63,43.7,0.01,-0.13,0.14,27.21,27.25,26.49,26.49,26.49
2024-08-05,24.57,25.63,23.63,25.13,15270.0,23.22,27.49,38.3,-0.16,-0.14,-0.03,26.93,27.11,26.42,26.42,26.42
