ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-02-10,11.61,11.62,11.4,11.53,16087.0,59.09,59.09,59.09,0.0,0.0,0.0,11.53,11.53,11.53,11.53,11.53
2025-02-17,11.52,11.68,11.44,11.64,17963.0,85.71,67.97,62.05,0.01,0.0,0.01,11.58,11.58,11.58,11.58,11.58
2025-02-24,11.63,11.81,11.59,11.75,20882.0,85.37,73.77,65.95,0.03,0.01,0.02,11.64,11.64,11.64,11.64,11.64
2025-03-03,11.75,12.05,11.75,12.03,34371.0,96.92,81.48,71.13,0.06,0.02,0.05,11.74,11.74,11.74,11.74,11.74
2025-03-10,12.08,12.52,12.04,12.48,66599.0,96.43,86.47,76.24,0.13,0.04,0.09,11.89,11.89,11.89,11.89,11.89
2025-03-17,12.5,12.61,12.28,12.37,48364.0,79.49,84.14,78.88,0.16,0.06,0.1,12.05,11.97,11.97,11.97,11.97
2025-03-24,12.36,12.67,12.36,12.54,53030.0,87.96,85.41,81.05,0.2,0.08,0.12,12.23,12.05,12.05,12.05,12.05
2025-03-31,12.46,12.65,12.36,12.62,33398.0,94.57,88.46,83.52,0.23,0.11,0.12,12.41,12.12,12.12,12.12,12.12
2025-04-07,10.81,11.6,10.1,11.52,130210.0,55.25,77.39,81.48,0.16,0.12,0.04,12.31,12.05,12.05,12.05,12.05
2025-04-14,11.7,11.98,11.56,11.77,46289.0,64.98,73.26,78.74,0.12,0.12,0.0,12.16,12.02,12.02,12.02,12.02
2025-04-21,11.74,11.97,11.43,11.88,25878.0,69.26,71.92,76.47,0.1,0.12,-0.02,12.07,12.06,12.01,12.01,12.01
2025-04-28,11.92,11.99,11.61,11.62,13082.0,59.61,67.82,73.58,0.06,0.11,-0.05,11.88,12.06,11.98,11.98,11.98
2025-05-05,11.52,11.65,10.99,11.57,19957.0,77.78,71.14,72.77,0.03,0.09,-0.07,11.67,12.04,11.95,11.95,11.95
2025-05-12,11.56,11.75,11.49,11.62,12098.0,63.0,68.43,71.32,0.01,0.08,-0.07,11.69,12.0,11.92,11.92,11.92
2025-05-19,11.6,12.16,11.54,11.98,26603.0,84.62,73.82,72.16,0.02,0.07,-0.05,11.73,11.95,11.93,11.93,11.93
2025-05-26,12.0,12.37,11.68,12.23,24711.0,89.86,79.17,74.49,0.05,0.06,-0.01,11.8,11.93,11.95,11.95,11.95
2025-06-02,12.23,12.49,12.13,12.27,29931.0,85.33,81.22,76.74,0.08,0.07,0.01,11.93,11.91,11.97,11.97,11.97
2025-06-09,12.26,12.32,11.63,11.65,19834.0,16.0,59.48,70.98,0.04,0.06,-0.02,11.95,11.81,11.95,11.95,11.95
2025-06-16,11.65,12.02,11.64,11.89,14603.0,36.84,51.93,64.63,0.04,0.06,-0.02,12.0,11.85,11.95,11.95,11.95
2025-06-23,11.89,12.23,11.85,12.06,22636.0,50.0,51.29,60.19,0.05,0.06,-0.01,12.02,11.88,11.95,11.95,11.95
2025-06-30,12.14,12.29,12.07,12.07,26454.0,51.16,51.25,57.21,0.05,0.06,-0.0,11.99,11.9,11.98,11.96,11.96
2025-07-07,12.12,13.4,12.1,13.38,71329.0,98.87,67.12,60.51,0.17,0.08,0.1,12.21,12.07,12.07,12.02,12.02
2025-07-14,13.43,14.1,13.35,13.87,100477.0,90.65,74.96,65.33,0.3,0.12,0.18,12.65,12.3,12.17,12.1,12.1
2025-07-21,13.96,14.15,13.64,13.99,80760.0,93.04,80.99,70.55,0.4,0.17,0.23,13.07,12.54,12.27,12.18,12.18
2025-07-28,14.21,14.68,13.94,14.04,96026.0,75.48,79.15,73.42,0.47,0.22,0.25,13.47,12.74,12.35,12.25,12.25
2025-08-04,13.98,15.05,13.91,14.8,81067.0,91.53,83.28,76.7,0.58,0.29,0.29,14.02,13.0,12.47,12.35,12.35
2025-08-11,15.02,15.66,14.98,15.46,87059.0,91.34,85.97,79.79,0.71,0.36,0.34,14.43,13.32,12.61,12.47,12.47
2025-08-18,15.46,15.88,15.14,15.44,75411.0,80.36,84.1,81.23,0.79,0.44,0.35,14.75,13.7,12.76,12.57,12.57
2025-08-25,15.52,16.3,15.37,16.26,44890.0,98.33,88.84,83.76,0.91,0.53,0.38,15.2,14.14,12.99,12.7,12.7
2025-09-01,16.3,16.5,16.11,16.46,39924.0,98.46,92.04,86.52,0.99,0.61,0.38,15.68,14.58,13.23,12.83,12.83
2025-09-08,16.16,16.16,15.47,16.09,64987.0,73.03,85.71,86.25,1.01,0.68,0.33,15.94,14.98,13.44,12.93,12.93
2025-09-15,16.2,16.36,16.0,16.03,31110.0,65.44,78.95,83.82,1.0,0.74,0.26,16.06,15.24,13.66,13.03,13.03
2025-09-22,15.96,16.14,15.56,16.04,29554.0,59.29,72.4,80.01,0.98,0.78,0.19,16.18,15.46,13.88,13.12,13.12
