ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,77.35,79.85,77.25,79.8,12103.0,79.8,79.8,79.8,79.8,79.8,98.08,98.08,98.08,0.0,0.0,0.0,79.8,79.8,79.8,79.8,79.8
2024-04-15,78.8,79.35,73.5,74.2,11042.0,77.0,77.0,77.0,77.0,77.0,11.02,69.06,88.4,-0.48,-0.09,-0.4,77.0,77.0,77.0,77.0,77.0
2024-04-22,72.7,77.15,72.5,77.05,11558.0,77.02,77.02,77.02,77.02,77.02,61.9,66.67,81.16,-0.59,-0.18,-0.41,77.02,77.02,77.02,77.02,77.02
2024-04-29,77.4,77.9,76.1,77.15,6267.0,77.05,77.05,77.05,77.05,77.05,63.27,65.54,75.95,-0.65,-0.26,-0.38,77.05,77.05,77.05,77.05,77.05
2024-05-06,78.0,79.8,78.0,79.2,8167.0,77.48,77.48,77.48,77.48,77.48,91.16,74.08,75.33,-0.5,-0.31,-0.19,77.48,77.48,77.48,77.48,77.48
2024-05-13,79.05,81.0,78.95,80.5,12393.0,77.62,77.98,77.98,77.98,77.98,94.12,80.76,77.14,-0.27,-0.3,0.03,77.62,77.98,77.98,77.98,77.98
2024-05-20,80.55,82.85,80.55,80.85,16459.0,78.95,78.39,78.39,78.39,78.39,80.68,80.73,78.34,-0.07,-0.26,0.19,78.95,78.39,78.39,78.39,78.39
2024-05-27,81.7,82.5,80.8,80.95,13451.0,79.73,78.71,78.71,78.71,78.71,71.85,77.77,78.15,0.09,-0.19,0.29,79.73,78.71,78.71,78.71,78.71
2024-06-03,80.95,83.05,80.65,82.9,11753.0,80.88,79.18,79.18,79.18,79.18,97.03,84.19,80.16,0.38,-0.09,0.47,80.88,79.18,79.18,79.18,79.18
2024-06-11,82.9,87.05,82.75,86.95,14587.0,82.43,79.96,79.96,79.96,79.96,98.77,89.05,83.12,0.94,0.1,0.84,82.43,79.96,79.96,79.96,79.96
2024-06-17,87.3,89.1,86.85,86.9,33109.0,83.71,80.67,80.59,80.59,80.59,74.27,84.12,83.46,1.33,0.32,1.01,83.71,80.67,80.59,80.59,80.59
2024-06-24,86.9,89.95,85.15,89.95,42674.0,85.53,82.24,81.37,81.37,81.37,100.0,89.41,85.44,1.86,0.6,1.26,85.53,82.24,81.37,81.37,81.37
2024-07-01,88.95,94.2,88.65,94.1,29804.0,88.16,83.94,82.35,82.35,82.35,99.26,92.7,87.86,2.58,0.96,1.62,88.16,83.94,82.35,82.35,82.35
2024-07-08,94.85,96.2,91.6,91.75,25926.0,89.93,85.4,83.02,83.02,83.02,66.91,84.1,86.61,2.86,1.31,1.56,89.93,85.4,83.02,83.02,83.02
2024-07-15,92.35,93.35,89.6,90.1,25047.0,90.56,86.5,83.49,83.49,83.49,44.8,71.0,81.41,2.88,1.59,1.29,90.56,86.5,83.49,83.49,83.49
2024-07-22,89.35,91.0,85.8,86.45,18558.0,90.47,87.09,83.68,83.68,83.68,11.76,51.26,71.36,2.53,1.76,0.77,90.47,87.09,83.68,83.68,83.68
2024-07-29,86.95,89.15,84.1,84.35,26689.0,89.35,87.44,83.71,83.71,83.71,2.07,34.86,59.19,2.04,1.81,0.23,89.35,87.44,83.71,83.71,83.71
2024-08-05,81.0,82.45,77.7,81.5,27801.0,86.83,87.49,83.59,83.59,83.59,20.54,30.09,49.49,1.4,1.74,-0.34,86.83,87.49,83.59,83.59,83.59
2024-08-12,82.8,87.35,82.2,87.25,8736.0,85.93,87.93,83.78,83.78,83.78,61.02,40.4,46.46,1.4,1.68,-0.28,85.93,87.93,83.78,83.78,83.78
2024-08-19,87.1,88.15,85.2,85.6,12276.0,85.03,87.79,83.88,83.88,83.88,59.4,46.73,46.55,1.23,1.6,-0.37,85.03,87.79,83.88,83.88,83.88
2024-08-26,86.0,86.05,82.75,84.2,8046.0,84.58,87.52,84.1,83.89,83.89,56.77,50.08,47.73,0.96,1.48,-0.52,84.58,87.52,84.1,83.89,83.89
2024-09-02,85.05,85.3,81.6,82.55,7946.0,84.22,86.78,84.51,83.83,83.83,46.41,48.86,48.1,0.61,1.32,-0.72,84.22,86.78,84.51,83.83,83.83
2024-09-09,80.1,85.95,80.1,85.7,9289.0,85.06,85.94,84.94,83.91,83.91,69.57,55.76,50.65,0.6,1.19,-0.59,85.06,85.94,84.94,83.91,83.91
2024-09-16,86.05,87.95,85.15,87.4,9068.0,85.09,85.51,85.46,84.06,84.06,90.68,67.4,56.24,0.74,1.11,-0.37,85.09,85.51,85.46,84.06,84.06
2024-09-23,87.85,88.7,87.1,87.4,13757.0,85.45,85.24,85.87,84.19,84.19,84.88,73.23,61.9,0.83,1.06,-0.23,85.45,85.24,85.87,84.19,84.19
2024-09-30,86.5,87.75,86.1,87.45,6294.0,86.1,85.34,86.22,84.32,84.32,85.47,77.31,67.04,0.88,1.03,-0.14,86.1,85.34,86.22,84.32,84.32
