ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-04-10,151.7,151.7,151.7,151.7,3794,34.77,18.59,18.73,-18.9,-11.46,-7.43,156.2,181.12,199.28,219.17,219.17
2025-04-11,144.0,160.1,143.6,160.1,34662,99.57,45.59,27.68,-18.19,-12.69,-5.51,148.16,175.06,196.39,217.76,217.76
2025-04-14,165.55,167.8,158.95,159.75,24571,81.13,57.43,37.6,-17.39,-13.54,-3.85,148.06,169.7,193.68,216.41,216.41
2025-04-15,161.35,165.2,160.05,165.0,10733,93.43,69.43,48.21,-16.04,-14.0,-2.04,152.6,165.59,191.24,215.24,215.24
2025-04-16,161.75,161.9,157.85,158.1,11271,59.92,66.26,54.23,-15.36,-14.24,-1.11,158.93,162.3,188.28,213.97,213.97
2025-04-17,156.7,158.6,153.9,157.3,12327,56.61,63.04,57.17,-14.66,-14.32,-0.34,160.05,158.12,185.19,212.74,212.74
2025-04-18,158.0,158.9,156.75,157.9,6491,28.78,51.62,55.32,-13.83,-14.23,0.4,159.61,153.89,182.34,211.57,211.57
2025-04-21,156.2,156.75,152.65,152.65,9229,0.0,34.41,48.35,-13.44,-14.09,0.65,158.19,153.12,178.86,210.35,210.35
2025-04-22,149.75,152.5,148.4,148.7,10729,2.22,23.68,40.13,-13.26,-13.94,0.68,154.93,153.76,175.39,209.09,209.09
2025-04-23,156.75,161.3,156.6,161.1,12936,98.45,48.61,42.95,-11.82,-13.55,1.73,155.53,157.23,172.6,208.13,208.13
2025-04-24,162.2,162.5,158.3,158.6,9016,72.34,56.52,47.48,-10.76,-13.04,2.28,155.79,157.92,169.52,207.16,207.16
2025-04-25,167.7,168.0,165.3,165.6,11452,87.76,66.93,53.96,-9.19,-12.34,3.15,157.33,158.47,166.76,206.36,206.36
2025-04-28,167.8,168.75,167.0,167.85,7580,95.58,76.48,61.47,-7.67,-11.49,3.82,160.37,159.28,164.49,205.63,205.63
2025-04-29,167.9,171.35,167.35,170.95,6466,97.29,83.42,68.78,-6.15,-10.52,4.37,164.82,159.88,162.73,204.99,204.99
2025-04-30,170.1,172.45,169.55,170.3,8154,84.81,83.88,73.81,-4.97,-9.51,4.54,166.66,161.09,161.7,204.36,204.36
2025-05-02,176.55,179.9,176.2,179.85,8662,99.66,89.14,78.92,-3.18,-8.36,5.18,170.91,163.35,160.74,203.92,203.92
