ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2025-07-07,8.97,9.06,8.96,9.05,251025.0,9.05,9.15,9.62,9.94,9.94,38.71,21.74,24.07,-0.27,-0.22,-0.05,9.05,9.15,9.62,9.94,9.94
2025-07-14,9.03,9.12,9.03,9.11,264044.0,9.04,9.14,9.56,9.92,9.92,66.67,36.72,28.29,-0.25,-0.22,-0.03,9.04,9.14,9.56,9.92,9.92
2025-07-21,9.13,9.16,9.1,9.16,269740.0,9.05,9.13,9.51,9.9,9.9,85.19,52.87,36.48,-0.23,-0.22,-0.01,9.05,9.13,9.51,9.9,9.9
2025-07-28,9.17,9.38,9.16,9.34,226855.0,9.12,9.14,9.46,9.89,9.89,91.11,65.62,46.19,-0.19,-0.22,0.02,9.12,9.14,9.46,9.89,9.89
2025-08-04,9.22,9.28,9.2,9.25,127638.0,9.18,9.13,9.41,9.88,9.88,69.05,66.76,53.05,-0.17,-0.21,0.04,9.18,9.13,9.41,9.88,9.88
2025-08-11,9.26,9.33,9.25,9.33,105560.0,9.24,9.14,9.36,9.87,9.87,85.71,73.08,59.73,-0.15,-0.2,0.05,9.24,9.14,9.36,9.87,9.87
2025-08-18,9.33,9.54,9.31,9.5,141909.0,9.32,9.18,9.33,9.86,9.86,90.91,79.02,66.16,-0.11,-0.18,0.07,9.32,9.18,9.33,9.86,9.86
2025-08-25,9.49,9.57,9.47,9.55,149128.0,9.39,9.22,9.32,9.86,9.86,95.12,84.39,72.24,-0.08,-0.16,0.09,9.39,9.22,9.32,9.86,9.86
2025-09-01,9.56,9.58,9.5,9.51,137027.0,9.43,9.27,9.3,9.85,9.85,81.58,83.45,75.97,-0.06,-0.14,0.09,9.43,9.27,9.3,9.85,9.85
2025-09-08,9.51,9.51,9.39,9.43,216602.0,9.46,9.32,9.27,9.84,9.84,54.55,73.82,75.26,-0.05,-0.13,0.08,9.46,9.32,9.27,9.84,9.84
2025-09-15,9.44,9.45,9.36,9.44,180248.0,9.49,9.36,9.26,9.83,9.83,48.15,65.26,71.92,-0.04,-0.11,0.07,9.49,9.36,9.26,9.83,9.83
2025-09-22,9.45,9.55,9.45,9.54,142165.0,9.49,9.4,9.27,9.83,9.83,81.82,70.78,71.54,-0.02,-0.09,0.07,9.49,9.4,9.27,9.83,9.83
2025-09-30,9.54,9.56,9.53,9.55,26148.0,9.49,9.44,9.29,9.82,9.82,86.36,75.97,73.02,-0.01,-0.08,0.07,9.49,9.44,9.29,9.82,9.82
