ts,Open,High,Low,Close,Volume,Amount
2025-02-11 09:01:00,9.98,9.99,9.98,9.99,4396,43875290.0
2025-02-11 09:02:00,9.99,9.99,9.98,9.99,738,7369030.0
2025-02-11 09:03:00,9.99,9.99,9.98,9.99,444,4434080.0
2025-02-11 09:04:00,9.99,9.99,9.98,9.99,488,4873540.0
2025-02-11 09:05:00,9.99,9.99,9.98,9.99,415,4144710.0
2025-02-11 09:06:00,9.99,9.99,9.98,9.99,239,2387030.0
2025-02-11 09:07:00,9.99,9.99,9.98,9.99,332,3315960.0
2025-02-11 09:08:00,9.99,9.99,9.98,9.99,149,1488430.0
2025-02-11 09:09:00,9.99,9.99,9.98,9.99,345,3446390.0
2025-02-11 09:10:00,9.99,9.99,9.98,9.99,256,2557390.0
2025-02-11 09:11:00,9.99,9.99,9.98,9.99,614,6133830.0
2025-02-11 09:12:00,9.99,10.0,9.98,10.0,638,6373630.0
2025-02-11 09:13:00,10.0,10.0,9.99,10.0,178,1779990.0
2025-02-11 09:14:00,10.0,10.0,10.0,10.0,197,1970000.0
2025-02-11 09:15:00,10.0,10.0,9.99,10.0,217,2169800.0
2025-02-11 09:16:00,10.0,10.0,9.99,10.0,183,1829800.0
2025-02-11 09:17:00,10.0,10.0,9.99,10.0,247,2469850.0
2025-02-11 09:18:00,9.99,10.0,9.99,9.99,390,3899890.0
2025-02-11 09:19:00,10.0,10.0,9.99,10.0,264,2639640.0
2025-02-11 09:20:00,10.0,10.0,9.99,10.0,562,5614970.0
2025-02-11 09:21:00,10.0,10.0,9.99,10.0,306,3059540.0
2025-02-11 09:22:00,10.0,10.0,9.99,9.99,111,1109300.0
2025-02-11 09:23:00,10.0,10.0,9.99,9.99,137,1368950.0
2025-02-11 09:24:00,9.99,10.0,9.99,10.0,403,4026160.0
2025-02-11 09:25:00,9.99,10.0,9.99,9.99,224,2238570.0
2025-02-11 09:26:00,9.99,10.0,9.99,10.0,102,1019240.0
2025-02-11 09:27:00,10.0,10.0,9.99,10.0,192,1918440.0
2025-02-11 09:28:00,10.0,10.0,9.99,10.0,180,1799240.0
2025-02-11 09:29:00,9.99,10.0,9.99,10.0,134,1338950.0
2025-02-11 09:30:00,10.0,10.0,9.99,10.0,60,599820.0
2025-02-11 09:31:00,10.0,10.0,9.99,10.0,87,869660.0
2025-02-11 09:32:00,9.99,10.0,9.99,9.99,127,1268970.0
2025-02-11 09:33:00,9.99,10.0,9.99,9.99,171,1708390.0
2025-02-11 09:34:00,10.0,10.0,9.99,9.99,136,1358860.0
2025-02-11 09:35:00,9.99,10.0,9.99,9.99,134,1338840.0
2025-02-11 09:36:00,9.99,10.0,9.99,10.0,95,949540.0
2025-02-11 09:37:00,10.0,10.0,9.99,9.99,16,159960.0
2025-02-11 09:38:00,10.0,10.0,9.99,10.0,216,2159970.0
2025-02-11 09:39:00,10.0,10.0,9.99,9.99,458,4575900.0
2025-02-11 09:40:00,10.0,10.0,9.99,10.0,190,1898150.0
2025-02-11 09:41:00,9.99,10.0,9.99,9.99,800,7992080.0
2025-02-11 09:42:00,9.99,9.99,9.99,9.99,24,239760.0
2025-02-11 09:43:00,9.99,9.99,9.99,9.99,196,1958040.0
2025-02-11 09:44:00,9.99,9.99,9.99,9.99,159,1588410.0
2025-02-11 09:45:00,9.99,9.99,9.98,9.99,150,1498410.0
2025-02-11 09:46:00,9.99,9.99,9.99,9.99,224,2237760.0
2025-02-11 09:47:00,9.99,9.99,9.99,9.99,50,499500.0
2025-02-11 09:48:00,9.99,10.0,9.99,9.99,256,2557460.0
2025-02-11 09:49:00,10.0,10.0,9.99,10.0,16,159900.0
2025-02-11 09:50:00,10.0,10.0,9.99,9.99,66,659610.0
2025-02-11 09:51:00,9.99,10.0,9.99,9.99,341,3406810.0
2025-02-11 09:52:00,9.99,9.99,9.99,9.99,44,439560.0
2025-02-11 09:53:00,9.99,10.0,9.99,10.0,36,359690.0
2025-02-11 09:54:00,9.99,10.0,9.99,10.0,16,159920.0
2025-02-11 09:55:00,10.0,10.0,9.99,10.0,44,439870.0
2025-02-11 09:56:00,10.0,10.0,9.99,10.0,152,1519420.0
2025-02-11 09:57:00,10.0,10.0,9.99,10.0,59,589940.0
2025-02-11 09:58:00,10.0,10.0,10.0,10.0,12,120000.0
2025-02-11 09:59:00,9.99,10.0,9.99,10.0,247,2469090.0
2025-02-11 10:00:00,9.99,10.0,9.99,10.0,43,429980.0
2025-02-11 10:01:00,10.0,10.0,9.99,10.0,48,479860.0
2025-02-11 10:02:00,10.0,10.0,9.99,9.99,8,79940.0
2025-02-11 10:03:00,10.0,10.0,9.99,9.99,111,1108900.0
2025-02-11 10:04:00,9.99,10.0,9.99,10.0,52,519600.0
2025-02-11 10:05:00,10.0,10.0,9.99,10.0,79,789600.0
2025-02-11 10:06:00,9.99,10.0,9.99,10.0,24,239800.0
2025-02-11 10:07:00,10.0,10.0,9.99,10.0,41,409860.0
2025-02-11 10:08:00,10.0,10.0,9.99,10.0,104,1039710.0
2025-02-11 10:09:00,10.0,10.0,9.99,10.0,38,379700.0
2025-02-11 10:10:00,10.0,10.0,10.0,10.0,9,90000.0
2025-02-11 10:11:00,10.0,10.0,10.0,10.0,23,230000.0
2025-02-11 10:12:00,9.99,10.0,9.99,9.99,44,439630.0
2025-02-11 10:13:00,10.0,10.0,10.0,10.0,33,330000.0
2025-02-11 10:14:00,10.0,10.0,9.99,9.99,19,189980.0
2025-02-11 10:15:00,10.0,10.0,9.99,9.99,16,159850.0
2025-02-11 10:16:00,9.99,10.0,9.99,9.99,27,269740.0
2025-02-11 10:17:00,10.0,10.0,9.99,10.0,28,279880.0
2025-02-11 10:18:00,10.0,10.0,9.99,9.99,197,1968250.0
2025-02-11 10:19:00,9.99,10.0,9.99,9.99,173,1728430.0
2025-02-11 10:20:00,9.99,10.0,9.99,9.99,63,629500.0
2025-02-11 10:21:00,9.99,9.99,9.99,9.99,60,599400.0
2025-02-11 10:22:00,9.99,10.0,9.99,9.99,313,3126880.0
2025-02-11 10:23:00,9.99,9.99,9.99,9.99,91,909090.0
2025-02-11 10:24:00,9.99,9.99,9.99,9.99,20,199800.0
2025-02-11 10:25:00,9.99,9.99,9.99,9.99,111,1108890.0
2025-02-11 10:26:00,9.99,10.0,9.99,10.0,40,399690.0
2025-02-11 10:27:00,10.0,10.0,9.99,9.99,29,289880.0
2025-02-11 10:28:00,10.0,10.0,9.99,10.0,49,489990.0
2025-02-11 10:29:00,9.99,10.0,9.99,10.0,10,99990.0
2025-02-11 10:30:00,10.0,10.0,10.0,10.0,49,490000.0
2025-02-11 10:31:00,9.99,10.0,9.99,10.0,236,2357690.0
2025-02-11 10:32:00,9.99,10.0,9.99,9.99,192,1918220.0
